RAD	WIND	MINT	MAXT	DOY	VPR	OKTA	RAIN	AHA
990	5.32	25.19	31.31	0	0.89	1	4554	26.19
1010	5.97	25.26	30.8	1	0.99	2	4646	26.26
1005	5	25.58	30.91	2	0.97	3	4623	26.58
1000	5.81	25.13	30.08	3	0.95	4	4600	26.13
995	5.73	24.03	29.12	4	1.12	5	4577	25.03
999	5.68	24.3	28.69	5	1	6	4595.4	25.3
1001	5.84	23.8	28.61	6	1.21	7	4604.6	24.8
1002	5.77	23.9	29.13	7	1.09	1	4609.2	24.9
1004	5	24.41	31.48	8	1.03	2	4618.4	25.41
1005	5.27	25.5	32.41	9	0.92	3	4623	26.5
1006	5.71	26.29	33.16	10	0.93	4	4627.6	27.29
1030	6.97	25.32	31.07	11	0.99	5	4738	26.32
990	5.32	25.19	31.31	12	0.89	6	4554	26.19
1010	5.97	25.26	30.8	13	0.99	7	4646	26.26
1005	5	25.58	30.91	14	0.89	1	4623	26.58
1000	5.81	25.13	30.08	15	0.99	2	4600	26.13
995	5.73	24.03	29.12	16	0.97	3	4577	25.03
999	5.68	24.3	28.69	17	0.95	4	4595.4	25.3
1001	5.84	23.8	28.61	18	1.12	5	4604.6	24.8
1002	5.77	23.9	29.13	19	1	6	4609.2	24.9
1004	5	24.41	31.48	20	1.21	7	4618.4	25.41
1005	5.27	25.5	32.41	21	1.09	1	4623	26.5
1006	5.71	26.29	33.16	22	1.03	2	4627.6	27.29
1030	6.97	25.32	31.07	23	0.92	3	4738	26.32
990	5.32	25.19	31.31	24	0.93	4	4554	26.19
1010	5.97	25.26	30.8	25	0.99	5	4646	26.26
1005	5	25.58	30.91	26	0.89	6	4623	26.58
1000	5.81	25.13	30.08	27	0.99	7	4600	26.13
995	5.73	24.03	29.12	28	0.97	1	4577	25.03
999	5.68	24.3	28.69	29	0.95	2	4595.4	25.3
1001	5.84	23.8	28.61	30	1.12	3	4604.6	24.8
1002	5.77	23.9	29.13	31	1	4	4609.2	24.9
1004	5	24.41	31.48	32	1.21	5	4618.4	25.41
1005	5.27	25.5	32.41	33	1.09	6	4623	26.5
1006	5.71	26.29	33.16	34	1.03	7	4627.6	27.29
1030	6.97	25.32	31.07	35	0.92	1	4738	26.32
990	5.32	25.19	31.31	36	0.93	2	4554	26.19
1010	5.97	25.26	30.8	37	0.99	3	4646	26.26
1005	5	25.58	30.91	38	0.89	4	4623	26.58
1000	5.81	25.13	30.08	39	0.99	5	4600	26.13
995	5.73	24.03	29.12	40	0.97	6	4577	25.03
999	5.68	24.3	28.69	41	0.95	7	4595.4	25.3
1001	5.84	23.8	28.61	42	1.12	1	4604.6	24.8
1002	5.77	23.9	29.13	43	1	2	4609.2	24.9
1004	5	24.41	31.48	44	1.21	3	4618.4	25.41
1005	5.27	25.5	32.41	45	1.09	4	4623	26.5
1006	5.71	26.29	33.16	46	1.03	5	4627.6	27.29
990	5.32	25.19	31.31	47	0.92	6	4554	26.19
1010	5.97	25.26	30.8	48	0.93	7	4646	26.26
1005	5	25.58	30.91	49	0.99	1	4623	26.58
1000	5.81	25.13	30.08	50	0.89	2	4600	26.13
995	5.73	24.03	29.12	51	0.99	3	4577	25.03
999	5.68	24.3	28.69	52	0.89	4	4595.4	25.3
1001	5.84	23.8	28.61	53	0.99	5	4604.6	24.8
1002	5.77	23.9	29.13	54	0.97	6	4609.2	24.9
1004	5	24.41	31.48	55	0.95	7	4618.4	25.41
1005	5.27	25.5	32.41	56	1.12	1	4623	26.5
1006	5.71	26.29	33.16	57	1	2	4627.6	27.29
1030	6.97	25.32	31.07	58	1.21	3	4738	26.32
990	5.32	25.19	31.31	59	1.09	4	4554	26.19
1010	5.97	25.26	30.8	60	1.03	5	4646	26.26
1005	5	25.58	30.91	61	0.92	6	4623	26.58
1000	5.81	25.13	30.08	62	0.93	7	4600	26.13
995	5.73	24.03	29.12	63	0.99	1	4577	25.03
999	5.68	24.3	28.69	64	0.89	2	4595.4	25.3
1001	5.84	23.8	28.61	65	0.99	3	4604.6	24.8
1002	5.77	23.9	29.13	66	0.89	4	4609.2	24.9
1004	5	24.41	31.48	67	0.99	5	4618.4	25.41
1005	5.27	25.5	32.41	68	0.97	6	4623	26.5
1006	5.71	26.29	33.16	69	0.95	7	4627.6	27.29
1005	5	25.58	30.91	70	1.12	1	4623	26.58
1000	5.81	25.13	30.08	71	1	2	4600	26.13
995	5.73	24.03	29.12	72	1.21	3	4577	25.03
999	5.68	24.3	28.69	73	1.09	4	4595.4	25.3
