RAD	WIND	MINT	MAXT	DOY	VPR	OKTA	RAIN	AHA
990.00	5.32	25.19	31.31	1	0.89	1	4554	26.19
1010.00	5.97	25.26	30.80	2	0.99	2	4646	26.26
1005.00	5.00	25.58	30.91	3	0.97	3	4623	26.58
1000.00	5.81	25.13	30.08	4	0.95	4	4600	26.13
995.00	5.73	24.03	29.12	5	1.12	5	4577	25.03
999.00	5.68	24.30	28.69	6	1	6	4595.4	25.30
1001.00	5.84	23.80	28.61	7	1.21	7	4604.6	24.80
1002.00	5.77	23.90	29.13	8	1.09	1	4609.2	24.90
1004.00	5.00	24.41	31.48	9	1.03	2	4618.4	25.41
1005.00	5.27	25.50	32.41	10	0.92	3	4623	26.50
1006.00	5.71	26.29	33.16	11	0.93	4	4627.6	27.29
1030.00	6.97	25.32	31.07	12	0.99	5	4738	26.32
990.00	5.32	25.19	31.31	13	0.89	6	4554	26.19
1010.00	5.97	25.26	30.80	14	0.99	7	4646	26.26
1005.00	5.00	25.58	30.91	15	0.89	1	4623	26.58
1000.00	5.81	25.13	30.08	16	0.99	2	4600	26.13
995.00	5.73	24.03	29.12	17	0.97	3	4577	25.03
999.00	5.68	24.30	28.69	18	0.95	4	4595.4	25.30
1001.00	5.84	23.80	28.61	19	1.12	5	4604.6	24.80
1002.00	5.77	23.90	29.13	20	1	6	4609.2	24.90
1004.00	5.00	24.41	31.48	21	1.21	7	4618.4	25.41
1005.00	5.27	25.50	32.41	22	1.09	1	4623	26.50
1006.00	5.71	26.29	33.16	23	1.03	2	4627.6	27.29
1030.00	6.97	25.32	31.07	24	0.92	3	4738	26.32
990.00	5.32	25.19	31.31	25	0.93	4	4554	26.19
1010.00	5.97	25.26	30.80	26	0.99	5	4646	26.26
1005.00	5.00	25.58	30.91	27	0.89	6	4623	26.58
1000.00	5.81	25.13	30.08	28	0.99	7	4600	26.13
995.00	5.73	24.03	29.12	29	0.97	1	4577	25.03
999.00	5.68	24.30	28.69	30	0.95	2	4595.4	25.30
1001.00	5.84	23.80	28.61	31	1.12	3	4604.6	24.80
1002.00	5.77	23.90	29.13	32	1	4	4609.2	24.90
1004.00	5.00	24.41	31.48	33	1.21	5	4618.4	25.41
1005.00	5.27	25.50	32.41	34	1.09	6	4623	26.50
1006.00	5.71	26.29	33.16	35	1.03	7	4627.6	27.29
1030.00	6.97	25.32	31.07	36	0.92	1	4738	26.32
990.00	5.32	25.19	31.31	37	0.93	2	4554	26.19
1010.00	5.97	25.26	30.80	38	0.99	3	4646	26.26
1005.00	5.00	25.58	30.91	39	0.89	4	4623	26.58
1000.00	5.81	25.13	30.08	40	0.99	5	4600	26.13
995.00	5.73	24.03	29.12	41	0.97	6	4577	25.03
999.00	5.68	24.30	28.69	42	0.95	7	4595.4	25.30
1001.00	5.84	23.80	28.61	43	1.12	1	4604.6	24.80
1002.00	5.77	23.90	29.13	44	1	2	4609.2	24.90
1004.00	5.00	24.41	31.48	45	1.21	3	4618.4	25.41
1005.00	5.27	25.50	32.41	46	1.09	4	4623	26.50
1006.00	5.71	26.29	33.16	47	1.03	5	4627.6	27.29
